col1,col2,col3,col4,col5
129.836,285.954,85.324,130.663,285.135
129.829,285.953,85.323,130.663,285.134
129.828,285.952,85.323,130.663,285.133
129.825,285.952,85.322,130.66,285.133
129.823,285.949,85.322,130.659,285.132
129.816,285.945,85.318,130.657,285.131
129.815,285.939,85.317,130.655,285.131
129.803,285.939,85.317,130.652,285.131
129.802,285.938,85.313,130.649,285.13
129.801,285.938,85.313,130.646,285.129
129.798,285.934,85.312,130.645,285.129
129.796,285.931,85.31,130.645,285.128
129.791,285.917,85.307,130.644,285.128
129.785,285.912,85.305,130.643,285.127
129.771,285.89,85.304,130.642,285.127
129.741,285.874,85.303,130.642,285.125
129.578,285.603,85.302,130.642,285.125
129.559,285.58,85.302,130.641,285.125
129.515,285.528,85.297,130.64,285.123
129.447,285.522,85.296,130.64,285.123
129.436,285.499,85.295,130.639,285.123
129.431,285.495,85.294,130.638,285.121
129.428,285.462,85.293,130.637,285.12
129.427,285.458,85.293,130.637,285.12
129.415,285.435,85.283,130.637,285.119
129.398,285.43,85.282,130.636,285.118
129.397,285.426,85.282,130.635,285.118
129.395,285.424,85.279,130.635,285.116
129.386,285.421,85.277,130.634,285.115
129.381,285.419,85.271,130.634,285.114
129.378,285.415,85.269,130.63,285.11
129.372,285.398,85.265,130.629,285.109
129.37,285.393,85.262,130.629,285.109
129.37,285.391,85.258,130.629,285.107
129.367,285.386,85.257,130.628,285.107
129.362,285.385,85.257,130.626,285.106
129.36,285.385,85.256,130.625,285.102
129.358,285.384,85.254,130.625,285.101
129.357,285.381,85.251,130.624,285.1
129.352,285.381,85.245,130.623,285.099
129.348,285.38,85.24,130.62,285.096
129.348,285.374,85.238,130.62,285.095
129.348,285.373,85.234,130.62,285.092
129.346,285.371,85.233,130.619,285.09
129.345,285.37,85.231,130.619,285.09
129.34,285.367,85.215,130.618,285.086
129.336,285.362,85.208,130.618,285.085
129.332,285.356,85.175,130.616,285.084
129.33,285.355,84.98,130.616,285.082
129.33,285.353,84.687,130.615,285.081
129.329,285.353,84.384,130.614,285.08
129.327,285.351,84.161,130.614,285.077
129.32,285.349,84.067,130.613,285.074
129.32,285.347,84.028,130.612,285.073
129.317,285.346,83.818,130.611,285.073
129.314,285.345,83.768,130.61,285.072
129.312,285.345,83.718,130.607,285.068
129.307,285.343,83.586,130.607,285.068
129.307,285.342,83.566,130.607,285.068
129.306,285.342,83.465,130.606,285.068
129.304,285.341,83.437,130.606,285.065
129.303,285.339,83.43,130.605,285.061
129.303,285.336,83.421,130.604,285.061
129.303,285.334,83.394,130.603,285.058
129.301,285.334,83.265,130.603,285.057
129.3,285.333,83.251,130.602,285.056
129.3,285.332,83.222,130.601,285.049
129.299,285.331,83.192,130.6,285.046
129.298,285.33,83.175,130.6,285.037
129.298,285.328,83.167,130.599,285.036
129.297,285.328,83.16,130.596,285.034
129.296,285.327,83.153,130.596,285.033
129.295,285.327,83.152,130.595,285.019
129.292,285.327,83.147,130.593,285.018
129.29,285.326,83.097,130.593,285.017
129.288,285.325,83.088,130.593,285.011
129.286,285.325,83.085,130.592,285.007
129.286,285.325,83.082,130.59,285.006
129.284,285.325,83.08,130.589,284.974
129.283,285.325,83.055,130.589,284.971
129.283,285.325,83.045,130.588,284.964
129.281,285.324,83.026,130.588,284.961
129.279,285.324,83.022,130.587,284.961
129.278,285.324,83.02,130.587,284.96
129.276,285.324,83.016,130.587,284.957
129.275,285.324,83.015,130.586,284.952
129.275,285.324,83.011,130.585,284.952
129.271,285.323,83.009,130.585,284.949
129.271,285.322,83.008,130.582,284.945
129.269,285.322,83.006,130.581,284.941
129.267,285.321,83.002,130.581,284.941
129.262,285.32,82.995,130.581,284.938
129.261,285.32,82.994,130.58,284.936
129.261,285.319,82.989,130.58,284.933
129.261,285.318,82.986,130.579,284.928
129.261,285.317,82.984,130.578,284.922
129.259,285.314,82.983,130.577,284.92
129.258,285.313,82.978,130.577,284.917
129.258,285.311,82.976,130.576,284.916
129.257,285.309,82.973,130.576,284.916
129.256,285.309,82.971,130.572,284.914
129.253,285.307,82.97,130.572,284.913
129.253,285.306,82.969,130.57,284.909
129.253,285.306,82.963,130.569,284.908
129.253,285.305,82.961,130.566,284.907
129.252,285.303,82.959,130.565,284.906
129.252,285.302,82.959,130.565,284.901
129.251,285.302,82.959,130.563,284.9
129.251,285.301,82.958,130.562,284.899
129.25,285.3,82.957,130.561,284.897
129.249,285.3,82.957,130.561,284.883
129.249,285.299,82.954,130.561,284.879
129.248,285.299,82.952,130.559,284.874
129.248,285.298,82.952,130.55,284.871
129.247,285.296,82.952,130.547,284.87
129.247,285.292,82.95,130.545,284.869
129.247,285.29,82.949,130.545,284.864
129.246,285.29,82.946,130.543,284.861
129.245,285.288,82.945,130.542,284.86
129.245,285.286,82.944,130.542,284.853
129.245,285.286,82.943,130.54,284.85
129.242,285.285,82.943,130.539,284.85
129.242,285.285,82.939,130.539,284.849
129.24,285.285,82.938,130.539,284.848
129.238,285.285,82.935,130.539,284.848
129.237,285.284,82.934,130.538,284.841
129.237,285.284,82.928,130.537,284.841
129.237,285.284,82.919,130.536,284.84
129.236,285.284,82.919,130.536,284.84
129.235,285.283,82.917,130.534,284.839
129.234,285.282,82.916,130.533,284.83
